City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Cleveland,86675331,77460886,(D),71277,995143,2931708,15267238,10022999,5244239,5297928,5661179,(D),3145437,20120300,9276527,10843774,8954990,5188339,1493909,2272742,7711267,1034273,6676994,2821546,946123,1875423,2174837,9214444,(D),10959107,(D),18412675,(D),(D),68663580,45314375,10806394,982345,329099,9494950,12542811,2136201,32143,21213,5059,460,154,4445,5872,54547934,40918283,9116315,6202383,2913932,4513336,36498,4476838,1294109,1116736,177373,3379,173994,42151,36641,25730,1,359782.6,na,81,74,39,0,0,2621940,32369.62963,78909449,1,618000,158000,0,0,1,202000,75000,0,0,1,0,0,0,1,0.5625,9,586294,73286.75,2002
DC,277343927,214432222,(D),(D),2881144,(D),(D),(D),(D),(D),12443531,(D),(D),50563805,(D),(D),55116895,44012693,(D),(D),16439922,(D),(D),10566707,(D),(D),11066964,62911705,386922,(D),(D),29137633,20442391,193989831,224073510,166057641,15308622,1379725,681775,13247122,42707247,5068667,44208,32762,3020,272,135,2614,8426,192917955,143136907,30535456,20650737,9884719,19245592,-18538,19264130,3508592,2959879,548713,9307,539406,54984,48359,35714,0,0,na,0,0,0,0,0,0,0,0,1,845000,204000,0,0,1,214000,81000,1,0,0,0,0,0,0,0.4375,7,643950,80493.75,2002
Denver,110521260,98583696,(D),706864,(D),6393908,(D),(D),(D),7974938,6372191,(D),(D),25789831,8385689,17404142,(D),(D),(D),(D),6301935,(D),(D),(D),(D),(D),2847447,11937564,(D),14347129,(D),(D),(D),(D),86942484,64219905,7100348,587516,374203,6138629,15622231,2266781,38355,28331,3132,259,165,2708,6892,72242060,52366536,10604540,6877248,3727292,9270984,-21711,9292695,1521825,1240080,281745,3966,277779,47471,42228,33454,1,345454.5,na,81,73,47,0,0,2740614,33834.74074,56851043,1,604000,159000,0,0,1,188000,72000,0,1,0,0,0,0,0,0.5625,9,604904,75613,2002
Green Bay,11288525,10197683,(D),17465,359614,546103,2479250,765884,1713366,(D),755450,(D),(D),1965212,803817,1161396,763964,394045,(D),(D),943237,(D),(D),440066,174505,265561,273016,1090841,(D),(D),(D),(D),(D),(D),8978063,6311639,1009570,59965,67024,882581,1656854,288713,31097,21861,3497,208,232,3057,5739,7561582,5604161,1412181,990063,422118,545240,35656,509584,195984,168607,27377,3189,24188,38583,33238,21068,0,0,na,0,0,0,0,0,0,0,0,1,474000,132000,0,0,0,0,0,0,0,1,0,0,1,1,0.75,12,508788,63598.5,2002
Houston,211242234,192376596,179721,10290336,(D),13852087,32254439,11803291,20451148,16525950,12064565,(D),6254211,30701710,10210837,20490872,27674701,19861447,935456,6877798,(D),(D),(D),6754317,1277043,5477274,4974543,18865638,10470057,28590515,(D),38508650,56576583,135800013,163942480,126295559,15364172,1726619,683445,12954108,22282749,4937081,33206,25581,3112,350,138,2624,4513,141326230,98465207,19590315,13065274,6525041,23270708,59917,23210791,2901048,2374297,526751,14190,512561,48716,41471,45284,1,337113.4,na,81,84,47,0,0,2512357,31016.75309,63448417,0,0,0,0,0,1,234000,81000,0,1,0,0,0,0,0,0.25,4,559322,69915.25,2002
LA,548284285,492789415,463644,959081,4073880,16755997,59684162,36676427,23007735,36651125,37322409,13481767,58063774,122057736,33613129,88444606,69800337,42505132,9501337,17793868,33170699,5071835,28098864,25820177,11784192,14035985,14484628,55494870,1422725,73973534,17555647,117747936,77862884,414926531,421868493,292921198,53878767,8544375,2189809,43144583,75068528,12614158,33444,23222,4271,677,174,3420,5951,346102327,243965057,54338188,36373545,17964643,47799082,86560,47712522,7236765,5835018,1401747,1705,1400042,47826,41811,34079,2,631574.504,na,162,191,100,1,0,5436722,33560.01235,156572620,0,0,0,0,0,2,573000,212000,1,0,0,0,0,0,0,0,0,0,0,2002
Louisville,41431675,37409737,(D),65122,370685,1857105,(D),(D),(D),(D),2664543,(D),(D),7442597,3154543,4288055,3663464,(D),(D),(D),3400608,(D),(D),1683124,(D),(D),1136367,4021938,(D),(D),(D),9141643,9749034,27660703,34721648,23284953,4954237,417410,177849,4358978,6482458,1108339,31328,21009,4470,377,160,3933,5849,27056143,19991348,4686885,3143191,1543694,2377910,-712,2378622,696603,594703,101900,7428,94472,38840,33616,25178,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2002
Milwaukee,64749556,58812643,(D),55651,573334,2406695,12290157,8359961,3930196,4698465,3842073,(D),2386822,13853951,5317966,8535985,7155853,3660928,1747401,1747524,6367227,963795,5403432,1809434,545390,1264044,1581454,5936913,(D),8540538,(D),14676979,(D),(D),54135745,37158637,7258698,851327,342917,6064454,9718410,1514251,35751,24539,4794,562,226,4005,6418,44001081,32242634,7731674,5290873,2440801,4026773,16528,4010245,993676,875801,117875,2160,115715,44281,36815,34656,1,239534.9,na,81,56,31,0,0,1969153,24310.53086,50287833,0,0,0,0,0,1,150000,65000,0,0,1,0,0,0,0,0,0,0,0,2002
Minneapolis,144474242,129991834,207346,93933,1442502,6899423,19547690,(D),(D),(D),8535801,(D),6439951,32322477,13915780,18406698,(D),(D),(D),(D),10304220,(D),(D),4644032,1311220,3332811,3873489,14482408,301279,(D),(D),25987641,26748392,103243442,118203701,85462385,11660091,901059,621806,10137226,21081225,3100852,38120,27561,3760,291,201,3269,6799,98085262,74543745,15665613,10193975,5471638,7875904,11065,7864839,2149673,1817295,332378,13253,319125,45628,41019,24645,1,127586.2,na,81,94,54,0,1,1924354,23757.45679,40425000,1,437000,123000,0,0,1,185000,77000,0,1,0,0,0,0,0,0.375,6,512517,64064.625,2002
Nashville,58090313,52670317,(D),113072,(D),(D),8896710,(D),(D),(D),4143887,(D),(D),9702207,(D),(D),6104939,(D),(D),(D),(D),(D),(D),3637641,(D),(D),(D),5419996,(D),(D),(D),(D),(D),(D),46096231,34524658,5482704,509833,191348,4781523,6088869,1404664,32817,24579,3903,363,136,3404,4335,39721101,26263192,5566022,3609159,1956863,7891887,-63642,7955529,942326,757761,184565,17131,167434,42152,34659,47514,0,0,na,0,0,0,0,0,0,0,0,1,551000,141000,0,0,0,0,0,0,0,1,0,0,1,1,0.6875,11,550437,68804.625,2002
NYC,966348988,873717884,(D),(D),8806123,(D),(D),(D),(D),(D),49329529,(D),83559302,300208167,150506958,149701209,(D),85852950,(D),(D),71754277,11183954,60570323,30169098,9272377,20896721,20441096,92631103,(D),(D),(D),(D),(D),(D),779638097,538427295,111617606,11128784,4935625,95553197,129593196,18554586,42019,29019,6016,600,266,5150,6984,618564713,431845606,91346279,60609105,30737174,95372828,6471,95366357,10187653,8527125,1660528,5510,1655018,60717,50644,57623,2,1234822.579,na,161,178,90,0,1,6270645,38948.10559,220562176,2,1026000,265000,0,0,2,561000,230000,1,0,0,0,0,1,1,0.59375,19,1258023,78626.4375,2002
Providence,54316288,46775339,(D),27433,(D),2570042,8028907,(D),(D),3225139,4097735,867310,1917107,10921076,3599389,7321687,4594402,2539161,883744,1171498,5883852,1039491,4844361,2166239,496407,1669832,1484749,7540949,(D),7322875,(D),9946014,(D),(D),52153194,34759353,8804007,751277,500747,7551983,8589834,1608716,32419,21607,5473,467,311,4694,5340,34984182,24965077,5909976,3997916,1912060,4109129,6193,4102936,859087,728330,130757,1368,129389,40723,34277,31710,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2002
San Fran,240353006,214711287,(D),287053,2242579,10312259,21852211,(D),(D),11169140,15770354,(D),17402618,58235924,21318415,36917509,39287522,27060881,5427747,6798894,13921837,1853551,12068286,9662143,2975067,6687075,6322342,25641718,(D),26939494,(D),39254830,(D),(D),201244522,144460394,17423741,1981381,1125602,14316758,39360387,4158544,48393,34738,4190,476,271,3443,9465,161709083,112171847,23720642,15755978,7964664,25816594,47136,25769458,2679890,2162637,517253,1514,515739,60342,51868,49966,1,353703.7037,na,81,95,50,0,0,3253203,40163,78299835,1,463000,129000,0,0,1,166000,69000,1,0,0,0,0,1,1,0.625,10,541593,67699.125,2002
Seattle,164901146,146637147,360481,74187,411059,6548826,23726485,19375625,4350861,10547171,11058002,4982036,21732137,31316978,9166189,22150788,17480004,10980802,2179541,4319660,9384679,959338,8425341,5218080,1336676,3881404,3797020,18263999,434668,21605173,5393096,45458623,30709980,115927167,122376966,87004373,12886630,915028,1487952,10483650,22485963,3118302,39245,27901,4133,293,477,3362,7211,101858270,73993540,16072967,9566852,6506115,11791763,13684,11778079,1999926,1676072,323854,4452,319402,50931,44147,36875,1,373786.4078,na,81,93,48,0,0,3539938,43702.93827,80282668,1,534000,119000,0,0,1,200000,80000,0,1,0,0,0,0,0,0.4375,7,504621,63077.625,2002
Tampa Bay,84628076,75702483,367301,50708,1406991,4724281,5538369,(D),(D),6231492,7443098,1972840,4074625,18824967,6476884,12348083,11910324,5816603,1225187,4868534,7067131,527318,6539813,3793552,840639,2952913,2296805,8925592,418009,13674591,3379831,9612994,10680659,65021825,75158583,47695426,12361531,873100,249740,11238691,15101626,2487445,30215,19174,4970,351,100,4518,6071,54464493,41205260,9277791,6433656,2844135,3981442,100740,3880702,1442072,1228447,213625,4364,209261,37768,33543,18545,1,142156.9,na,81,55,30,0,0,1065742,13157.30864,34380000,1,606000,151000,0,0,0,0,0,0,1,0,0,1,1,1,0.75,12,525031,65628.875,2002
Tucson,25373756,20595611,8086,187176,165110,1300582,3461465,(D),(D),539501,2067309,458551,1096348,5348990,1558444,3790546,2069501,1110774,128051,830677,2131664,119593,2012071,1047045,172642,874403,714282,4778145,195262,2606810,623661,4557813,4957309,15638301,23329926,14496826,3899716,321228,74832,3503656,4933384,874267,26685,16582,4461,367,86,4008,5643,16260019,11479927,2596184,1737348,858836,2183908,603,2183305,437057,357958,79099,501,78598,37203,32071,27778,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2002
Vegas,59548161,54007867,7483,35086,1187841,5008616,1554940,927927,627013,2251260,4542750,1832156,1823746,12656687,4728792,7927895,5438586,2897933,673558,1867095,2730095,137030,2593064,13765201,1804938,11960263,1173420,5540294,42569,6794011,3019997,3378686,6606125,47401742,48064541,33894974,5307250,431820,312259,4563171,8862317,1522962,31560,22256,3485,284,205,2996,5819,38227321,26758108,5811948,3866619,1945329,5657265,-1092,5658357,896528,760037,136491,249,136242,42639,35206,41532,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002
Virginia Beach,61106595,43538856,(D),(D),516923,(D),(D),(D),(D),(D),4091856,(D),(D),10205794,(D),(D),(D),(D),(D),(D),3562133,(D),(D),(D),(D),(D),1319529,17567740,136719,(D),(D),9910212,9991802,33547054,49832138,33888876,5771632,599599,172652,4999381,10171630,1641177,30364,20649,3517,365,105,3046,6198,37829590,28023453,6846348,4827658,2018690,2959789,25883,2933906,980621,865017,115604,1600,114004,38577,32396,25735,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2002
Atlanta,223499568,202765223,232431,373110,2340384,(D),(D),(D),(D),(D),13692956,(D),(D),45924015,(D),(D),28081523,(D),(D),(D),12168181,(D),(D),7358785,(D),(D),(D),20734345,605542,(D),(D),46831916,33655383,169109839,162053533,122640640,14252037,1610338,573416,12068283,25160856,4572541,35441,26821,3117,352,125,2639,5503,137695082,98776765,19621622,13129667,6491955,19296695,110707,19185988,2813569,2314221,499348,8498,490850,48940,42683,39087,1,423000,163000,81,101,55,0,1,2401084,29643.01235,106243667,1,534000,133000,0,0,1,202000,78000,1,0,0,0,0,0,0,0.3125,5,563676,70459.5,2003
Austin,59221616,50581089,55161,215481,512259,3970826,8197044,7295591,901453,4612642,4217077,656997,5123221,8601677,3087211,5514466,7132137,5130379,(D),(D),3573626,(D),(D),2101595,363467,1738128,1611346,8640527,270642,8829719,1169256,13320265,12438512,38142577,46637119,35493604,3813504,389323,184622,3239559,7330011,1376030,33893,25794,2771,283,134,2354,5327,39811517,27452890,5809030,3935480,1873550,6549597,30582,6519015,864159,681665,182494,7991,174503,46070,40273,37358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
Boise,18012407,15856406,255568,18644,83107,1159119,3542043,(D),(D),(D),1491959,(D),(D),2883977,(D),(D),2098522,(D),(D),768505,1486224,(D),(D),(D),(D),(D),359295,2156001,274212,(D),(D),(D),4975374,10881032,15268356,10490034,1810535,153703,102641,1554191,2967787,512491,29792,20469,3533,300,200,3033,5791,11832815,8177547,1893759,1186086,707673,1761509,65229,1696280,317239,250414,66825,4929,61896,37299,32656,27405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
Boston,249299978,224867776,(D),91301,2618565,9679583,30402402,23289315,7113088,14336975,12100047,(D),13476849,60397657,25203831,35193825,39205669,27555972,5067088,6582610,25051764,6791830,18259935,7963744,1892133,6071610,5264293,24432202,(D),26437021,(D),43879252,(D),(D),194740022,136049992,22247477,2304975,1528650,18413852,36442553,4434723,43913,30678,5017,520,345,4152,8218,162827065,120657735,23995617,15870111,8125506,18173713,1899,18171814,2947152,2468270,478882,2388,476494,55249,48884,38137,1,488000,171000,81,95,53,0,0,2724165,33631.66667,99946500,1,756000,189000,0,0,1,290000,97000,0,1,0,0,1,1,1,0.875,14,547488,68436,2003
Charlotte,83624967,76618487,484305,110503,(D),4009338,14128055,(D),(D),(D),4959300,(D),4231975,20033699,12182653,7851046,(D),(D),(D),2466670,(D),(D),(D),2722900,972614,1750286,1720012,7006480,594808,(D),(D),18360030,18732201,57886286,57510558,41005421,7500891,805405,360157,6335329,9004246,1867238,30800,21960,4017,431,193,3393,4822,47759023,37543197,7940692,5136825,2803867,2275134,198014,2077120,1137783,957464,180319,6930,173389,41976,39211,11980,0,0,0,0,0,0,0,0,0,0,0,1,642000,161000,0,0,0,0,0,0,0,1,0,0,1,1,0.6875,11,582566,72820.75,2003
Chicago,422333832,381164216,246069,355353,(D),20623965,56048167,(D),(D),(D),24422550,(D),(D),98475839,42909480,55566359,(D),(D),(D),12952232,(D),(D),(D),15964335,(D),(D),(D),41169616,601423,(D),(D),(D),77273555,303890661,346751379,247857936,38656580,4067030,2244573,32344977,60236863,9233303,37554,26844,4187,440,243,3503,6524,278758162,200248153,45586125,31757308,13828817,32923884,56100,32867784,5387028,4557531,829497,6030,823467,51746,43938,39914,2,568000,249000,162,174,95,0,1,4902224,30260.64198,130878333,1,621000,132000,0,0,1,356000,119000,1,0,0,0,0,0,0,0.4375,7,479585,59948.125,2003
Cleveland,90074124,80502395,(D),79671,990999,3033253,15759389,10398239,5361150,5560134,6071787,(D),3305389,20975578,9831729,11143849,(D),(D),(D),2455692,8142778,1140238,7002541,2892926,968333,1924593,2091132,9571729,(D),11631921,(D),19064778,(D),(D),70084885,46793087,11343993,1058760,332356,9952877,11947805,2131150,32886,21957,5323,497,156,4670,5606,56362477,42128590,9636477,6536811,3099666,4597410,4265,4593145,1291744,1108949,182795,3178,179617,43633,37990,25572,1,331000,141000,81,68,38,0,0,1727001,21321,48584834,1,695000,174000,0,0,1,258000,72,0,0,1,0,0,0,0,0.3125,5,585564,73195.5,2003
DC,294429121,227265893,(D),172443,(D),13709350,(D),(D),(D),(D),13296047,(D),(D),54506877,(D),(D),(D),(D),(D),(D),(D),(D),(D),10977931,(D),(D),(D),67163228,(D),(D),(D),29627432,(D),(D),235840071,175305154,16297423,1583629,579827,14133967,44237494,5137498,45906,34123,3172,308,113,2751,8611,204008443,150463985,33177808,22768335,10409473,20366650,-36672,20403322,3562232,2979666,582566,8897,573669,57270,50497,35566,1,0,0,0,0,0,0,0,0,0,0,1,952000,227000,0,0,1,274000,98000,1,0,0,0,0,0,0,0.3125,5,643997,80499.625,2003
Denver,112565475,100133584,(D),724432,741800,(D),(D),3945454,(D),7919183,6544026,(D),(D),26438002,8717038,17720965,14979499,9321834,(D),(D),6752826,(D),(D),4161771,1348061,2813710,2850071,12431892,(D),14463209,(D),(D),13983627,86149957,88018916,64699297,7445727,649904,384143,6411680,15873892,2284876,38522,28316,3259,284,168,2806,6947,72937303,52911510,11038996,7248382,3790614,8986797,-29113,9015910,1510967,1217340,293627,3852,289775,48272,43465,31113,1,304000,121000,81,74,49,0,0,2334175,28816.97531,67179667,1,683000,171000,0,0,1,218000,75000,0,1,0,0,0,0,1,0.625,10,607167,75895.875,2003
Green Bay,11863111,10711844,(D),18040,380574,563247,2459030,849661,1609368,(D),804971,(D),(D),2125594,918420,1207174,864548,405132,257265,202152,1012669,(D),(D),(D),(D),279881,273012,1151267,(D),(D),(D),(D),(D),(D),9335137,6669012,1048718,70314,66676,911728,1617407,291169,32061,22904,3602,241,229,3131,5555,7954298,5821311,1498135,1058675,439460,634852,76183,558669,199248,170796,28452,3041,25411,39922,34083,21985,0,0,0,0,0,0,0,0,0,0,0,1,609000,152000,0,0,0,0,0,0,0,1,0,0,1,1,0.625,10,562819,70352.375,2003
Houston,220229712,199904586,(D),11530726,(D),14370006,35614490,11833558,23780932,16522448,12295924,(D),6227796,31980619,10879200,21101419,(D),(D),(D),(D),(D),(D),(D),6768105,1334528,5433577,4961000,20325126,(D),28818373,(D),41842285,(D),(D),170567294,130366149,16402825,2008182,688634,13706009,23798320,5036393,33867,25885,3257,399,137,2721,4725,145925899,99203159,20777851,13831522,6946329,25944889,94241,25850648,2921541,2355407,566134,13572,552562,49948,42117,46783,1,327000,121000,81,87,48,0,0,2455241,30311.61728,71040000,1,791000,193000,0,1,1,278000,82000,0,1,0,0,0,0,0,0.3125,5,563748,70468.5,2003
LA,583872516,526010254,599978,1184136,3865751,19626320,64317394,39055586,25261808,38444958,39874430,13746073,59373476,132959116,36811344,96147772,73184017,44850019,9640766,18693232,35642977,5671271,29971706,28971269,14324337,14646932,14220360,57862262,1784113,78319388,17611823,123690870,85727827,440282427,444124296,308194723,56820424,9006505,2190011,45623908,79109149,12696521,34980,24274,4475,709,172,3593,6231,364055291,252469664,59169811,39835616,19334195,52415816,132733,52283083,7270628,5804718,1465910,1610,1464300,50072,43494,35705,2,674000,268000,163,162,91,0,0,6199790,38035.52147,184904287,0,0,0,0,0,2,655000,221000,1,0,0,0,0,0,0,0,0,0,0,2003
Louisville,43021593,38812578,111070,68521,377148,1995607,7869769,(D),(D),3379432,2797653,(D),(D),7626635,3362978,4263657,3907731,(D),(D),(D),(D),(D),(D),1784386,(D),(D),1107574,4209015,179591,6177085,(D),(D),10044967,28767611,35620303,24081386,5122937,465584,181137,4476216,6415980,1119435,31820,21512,4576,416,162,3999,5731,27920711,20520559,4927429,3359207,1568222,2472723,24203,2448520,695620,589727,105893,7062,98831,40138,34797,24775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
Milwaukee,67530738,61191858,(D),62071,576473,2553839,12807995,(D),(D),4721437,4000868,(D),2434999,14569657,5749410,8820247,7384185,3696633,1976862,1710690,6814037,1070167,5743870,1856963,561454,1295509,1562045,6338881,(D),8722305,(D),15242993,(D),(D),54793421,37724475,7424558,932041,345992,6146525,9644388,1519746,36054,24823,4885,613,228,4044,6346,44803006,33045998,8074993,5571105,2503888,3682015,35786,3646229,991375,867827,123548,2011,121537,45193,38079,30001,1,206000,98000,81,68,31,0,1,1700354,20992.02469,40627000,0,0,0,0,0,1,174000,70000,0,0,1,0,0,0,0,0,0,0,0,2003
Minneapolis,154071529,138944781,279319,91476,1549922,7549055,22004217,(D),(D),(D),8886146,(D),6471749,34373097,15337392,19035705,21635667,(D),(D),(D),11202302,(D),(D),4901304,1377566,3523738,3809334,15126748,370795,(D),(D),28475966,29924067,109020713,123113363,88663945,12183131,978476,613910,10590745,22266287,3128159,39356,28344,3895,313,196,3386,7118,101858138,76602464,16930574,11143998,5786576,8325100,83840,8241260,2159233,1811004,348229,12606,335623,47173,42298,24555,1,148000,87000,81,90,48,0,1,1946011,24024.82716,55505000,1,542000,135000,0,0,1,230000,85000,0,1,0,0,0,0,0,0.5625,9,513437,64179.625,2003
Nashville,61639647,56088501,(D),123566,174568,(D),9908700,(D),(D),(D),4523563,(D),(D),10188931,(D),(D),(D),(D),(D),(D),6979177,(D),(D),(D),(D),(D),1858369,5551146,(D),(D),(D),(D),12909873,43178628,48103435,35957747,5856727,564825,169574,5122328,6288961,1426723,33716,25203,4105,396,119,3590,4408,41335451,27164732,6029026,3993933,2035093,8141693,-74825,8216518,953159,760450,192709,16385,176324,43367,35722,46599,0,0,0,0,0,0,0,0,0,0,0,1,620000,155000,0,0,0,0,0,0,0,1,0,0,0,1,0.75,12,550472,68809,2003
NYC,986694169,889778444,(D),232019,(D),32437006,(D),(D),(D),(D),51687553,(D),82060884,299283934,143247887,156036047,(D),86445536,(D),(D),76903039,12294698,64608341,30900082,9557478,21342604,20814700,96915725,(D),(D),(D),(D),(D),(D),788802401,541510692,115660192,11572143,4681777,99406272,131631517,18598803,42411,29115,6219,622,252,5345,7077,623727377,438572657,95988202,64556360,31431842,89166518,26525,89139993,10217610,8464533,1753077,5235,1747842,61044,51813,51000,2,1347000,398000,162,167,84,0,0,5629432,34749.58025,269926243,2,1040000,285000,0,0,2,645000,254000,1,0,0,0,0,0,0,0.3125,10,1251215,78200.9375,2003
Providence,57000645,49076616,(D),26734,(D),2782133,(D),(D),2134628,3386428,4287009,948468,2055185,11710646,3668512,8042134,5158321,2673190,1225914,1259217,6281139,1122545,5158594,2284734,546804,1737930,1480185,7924029,(D),7673437,(D),(D),(D),(D),54584009,36340693,9133309,902491,486057,7744761,9110007,1617623,33743,22465,5646,558,300,4788,5632,36702021,26211028,6272938,4271697,2001241,4218055,8899,4209156,865534,731135,134399,1304,133095,42404,35850,31625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
San Fran,250158492,223470996,(D),265198,2299944,10733362,26230067,(D),(D),11381756,16024777,(D),17692691,59797875,22178754,37619120,39352382,26782585,5525117,7044679,15003777,2064520,12939257,10159334,3273397,6885937,6169082,26687496,(D),27406533,(D),43922757,(D),(D),204228533,145591461,18159721,2044809,1080472,15034440,40477351,4145965,49260,35116,4380,493,261,3626,9763,163690627,112325593,25131192,16860189,8271003,26233842,74051,26159791,2653534,2111439,542095,1394,540701,61688,53199,48381,1,382000,159000,81,100,57,0,1,3264898,40307.38272,82852167,1,568000,142000,0,0,1,188000,70000,1,0,0,0,0,0,0,0.4375,7,540644,67580.5,2003
Seattle,170545166,151313157,549043,90031,492761,6915270,21507116,(D),(D),10912771,11572901,5337081,23190177,32878971,10028365,22850606,18786606,11623271,2459825,4703510,9879965,1024820,8855146,5510462,1411016,4099445,3690000,19232009,639075,22485672,5829842,44697293,29061461,122251696,126118257,88702894,13368380,993984,1405149,10969247,24046983,3133021,40255,28312,4267,317,448,3501,7675,104048159,75097770,17015614,10183066,6832548,11934775,56454,11878321,2002177,1665516,336661,4259,332402,51968,45090,35735,1,385000,167000,81,93,50,0,0,3267509,40339.61728,86959167,1,610000,153000,0,0,1,196000,70000,0,1,0,0,0,0,1,0.625,10,512150,64018.75,2003
Tampa Bay,89778015,80198959,359992,61266,1458633,5046081,5745457,(D),(D),6313244,7873098,2159447,4387299,19983888,7000048,12983840,12686483,6350906,1279482,5056095,7695532,581076,7114456,4082303,869559,3212744,2346236,9579056,421258,14186342,3618079,10132756,11212796,68986163,79281855,50285557,13072836,1005474,241410,11825952,15923462,2529652,31341,19878,5168,397,95,4675,6295,57180180,42925414,9807931,6839754,2968177,4446835,82515,4364320,1453478,1229385,224093,4178,219915,39340,34916,19845,1,145000,91000,81,63,36,0,0,1058695,13070.30864,19630000,1,671000,168000,0,0,0,0,0,0,1,0,0,0,0,0,0.4375,7,524352,65544,2003
Tucson,27415975,22355327,27945,193209,171559,1479927,4151869,(D),(D),585193,2391322,488299,1017406,5610239,1691577,3918662,2154861,1163305,139207,852348,2316176,137908,2178268,1062805,148932,913874,704516,5060648,221154,2976515,659859,5169276,5852950,16502376,24587317,15281468,4247147,358873,74849,3813425,5058702,885893,27754,17250,4794,405,84,4305,5710,17142012,11975240,2728711,1847593,881118,2438061,6705,2431356,441824,359325,82499,561,81938,38798,33327,29673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
Vegas,64013945,57817313,3170,40336,1209686,5735443,1709556,1056886,652670,2343717,4726194,1872271,1765753,13699903,4945686,8754217,6188124,3232704,928142,2027277,2971307,159093,2812214,14339863,2207387,12132476,1211991,6196632,43506,7069911,3081957,3475309,7488505,50328808,51344816,35797676,5714681,498079,279413,4937189,9832459,1584166,32411,22597,3607,314,176,3117,6207,40224059,28835663,6383663,4422934,1960729,5004733,-395,5005128,941654,792006,149648,227,149421,42716,36408,33497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2003
Virginia Beach,65652498,46752204,199645,8606,558629,(D),(D),(D),(D),(D),(D),(D),(D),10759096,(D),(D),6013371,(D),(D),(D),3894328,(D),(D),2335039,(D),(D),1380555,18900294,208251,6731704,(D),10418336,10485451,36266753,53388608,36421539,6234014,801066,160857,5272091,10733055,1649748,32362,22077,3779,486,98,3196,6506,40707098,29682719,7809998,5631962,2178036,3214381,51308,3163073,991565,870256,121309,1561,119748,41053,34108,26414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
